secid,date,close,volume,return
108105,20120904,1404.94,0,-0.001166
108105,20120905,1403.44,0,-0.001068
108105,20120906,1432.12,0,0.020436
108105,20120907,1437.92,0,0.00405
108105,20120910,1429.08,0,-0.006148
108105,20120911,1433.56,0,0.003135
108105,20120912,1436.56,0,0.002093
108105,20120913,1459.99,0,0.01631
108105,20120914,1465.77,0,0.003959
108105,20120917,1461.19,0,-0.003125
108105,20120918,1459.32,0,-0.00128
108105,20120919,1461.05,0,0.001186
108105,20120920,1460.26,0,-0.000541
108105,20120921,1460.15,0,-0.000075
108105,20120924,1456.89,0,-0.002233
108105,20120925,1441.59,0,-0.010502
108105,20120926,1433.32,0,-0.005737
108105,20120927,1447.15,0,0.009649
108105,20120928,1440.67,0,0.000891
108105,20121001,1444.49,0,0.002652
108105,20121002,1445.75,0,0.000872
108105,20121003,1450.99,0,0.003624
108105,20121004,1461.4,0,0.007174
108105,20121005,1460.93,0,-0.000322
108105,20121008,1455.88,0,-0.003457
108105,20121009,1441.48,0,-0.009891
108105,20121010,1432.56,0,-0.006188
108105,20121011,1432.84,0,0.000195
108105,20121012,1428.59,0,-0.002966
108105,20121015,1440.13,0,0.008078
108105,20121016,1454.92,0,0.01027
108105,20121017,1460.91,0,0.004117
108105,20121018,1457.34,0,-0.002444
108105,20121019,1433.19,0,-0.016571
108105,20121022,1433.82,0,0.00044
108105,20121023,1413.11,0,-0.014444
108105,20121024,1408.75,0,-0.003085
108105,20121025,1412.97,0,0.002996
108105,20121026,1411.94,0,-0.000729
108105,20121031,1412.16,0,0.000156
108105,20121101,1427.59,0,0.010926
108105,20121102,1414.2,0,-0.009379
108105,20121105,1417.26,0,0.002164
108105,20121106,1428.39,0,0.007853
108105,20121107,1394.53,0,-0.023705
108105,20121108,1377.51,0,-0.012205
108105,20121109,1379.85,0,0.001699
108105,20121112,1380.03,0,0.00013
108105,20121113,1374.53,0,-0.003985
108105,20121114,1355.49,0,-0.013852
108105,20121115,1353.33,0,-0.001594
108105,20121116,1359.88,0,0.00484
108105,20121119,1386.89,0,0.019862
108105,20121120,1387.81,0,0.000663
108105,20121121,1391.03,0,0.00232
108105,20121123,1409.15,0,0.013026
